dep,title,gen,tenure,setting,nps.cat,variable,value
Capital Markets/Investment Properties,Administrative,Born 1991 or after,Less than 1 year,Open workstation with low or no panels,Promoter,sched,85
Global Workplace Solutions (GWS),Manager/Regional Manager,Born 1981-1990,3-5 years,Open workstation with low or no panels,Passive,sched,80
Agency/Landlord Brokerage,SVP,Born before 1964,16 years or more,A private office,Passive,sched,30
Management/Leadership,Managing Director/Sr Managing Director,Born 1965-1980,11-15 years,Open workstation with low or no panels,Passive,sched,40
Capital Markets/Investment Properties,Associate/ Sr Associate,Born 1981-1990,1-2 years,Open workstation with low or no panels,Passive,sched,30
Capital Markets/Investment Properties,Associate/ Sr Associate,Born 1981-1990,3-5 years,Open workstation with low or no panels,Passive,sched,50
Capital Markets/Debt and Structured Finance,Analyst/Sr Analyst,Born 1991 or after,3-5 years,Open workstation with low or no panels,Detractor,sched,10
Research,Analyst/Sr Analyst,Born 1991 or after,3-5 years,Open workstation with low or no panels,Detractor,sched,30
Financial Consulting Group,Analyst/Sr Analyst,Born 1991 or after,3-5 years,Open workstation with low or no panels,Passive,sched,50
Communications and Marketing,Administrative,Born 1981-1990,1-2 years,Open workstation with low or no panels,Passive,sched,75
Communications and Marketing,Associate/ Sr Associate,Born 1981-1990,1-2 years,Open workstation with low or no panels,Detractor,sched,50
Occupier A&amp;T Services,SVP,Born 1965-1980,Less than 1 year,A private office,Promoter,sched,40
Research,Analyst/Sr Analyst,Born 1991 or after,Less than 1 year,Open workstation with low or no panels,Passive,sched,80
Capital Markets/Investment Properties,Analyst/Sr Analyst,Born 1965-1980,11-15 years,Open workstation with low or no panels,Detractor,sched,20
Capital Markets/Investment Properties,Analyst/Sr Analyst,Born 1991 or after,Less than 1 year,Open workstation with low or no panels,Promoter,sched,90
Project Management,Analyst/Sr Analyst,Born 1991 or after,3-5 years,Open workstation with low or no panels,Passive,sched,40
Occupier A&amp;T Services,Analyst/Sr Analyst,Born 1991 or after,1-2 years,I am not assigned to an individual workspace,Detractor,sched,20
"Specialty Services Brokerage (Land, Hotels, Healthcare)",Associate/ Sr Associate,Born 1981-1990,3-5 years,Open workstation with low or no panels,Detractor,sched,25
Occupier A&amp;T Services,Vice Chairman,Born 1965-1980,6-10 years,A private office,Detractor,sched,20
Agency/Landlord Brokerage,Associate/ Sr Associate,Born 1981-1990,3-5 years,Open workstation with low or no panels,Passive,sched,60
Agency/Landlord Brokerage,Associate/ Sr Associate,Born 1991 or after,3-5 years,Open workstation with low or no panels,Passive,sched,60
Client Services,Administrative,Born 1981-1990,3-5 years,Open workstation with low or no panels,Passive,sched,10
Communications and Marketing,Managing Director/Sr Managing Director,Born 1965-1980,1-2 years,A private office,Detractor,sched,50
Communications and Marketing,Manager/Regional Manager,Born 1981-1990,Less than 1 year,Open workstation with low or no panels,Promoter,sched,40
Capital Markets/Debt and Structured Finance,Analyst/Sr Analyst,Born 1991 or after,1-2 years,Open workstation with low or no panels,Passive,sched,20
IT,Manager/Regional Manager,Born 1965-1980,16 years or more,A shared office or work room,Detractor,sched,10
Management/Leadership,Analyst/Sr Analyst,Born 1991 or after,Less than 1 year,Open workstation with low or no panels,Passive,sched,80
Capital Markets/Debt and Structured Finance,VP,Born 1981-1990,3-5 years,Open workstation with low or no panels,Detractor,sched,20
Occupier A&amp;T Services,SVP,Born 1965-1980,6-10 years,A private office,Promoter,sched,10
Client Services,Administrative,Born 1991 or after,Less than 1 year,Open workstation with low or no panels,Detractor,sched,20
Communications and Marketing,Associate/ Sr Associate,Born 1981-1990,3-5 years,Open workstation with low or no panels,Detractor,sched,15
Capital Markets/Debt and Structured Finance,FVP,Born 1981-1990,3-5 years,Open workstation with low or no panels,Detractor,sched,5
Occupier A&amp;T Services,SVP,Born before 1964,16 years or more,A private office,Promoter,sched,20
Capital Markets/Investment Properties,Associate/ Sr Associate,Born 1981-1990,3-5 years,Open workstation with low or no panels,Passive,sched,35
Occupier A&amp;T Services,EVP,Born before 1964,16 years or more,A private office,Promoter,sched,90
Management/Leadership,Manager/Regional Manager,Born 1981-1990,6-10 years,A shared office or work room,Detractor,sched,40
Asset Services,Managing Director/Sr Managing Director,Born 1965-1980,11-15 years,A private office,Promoter,sched,75
Global Workplace Solutions (GWS),Director,Born 1981-1990,6-10 years,A private office,Promoter,sched,50
Occupier A&amp;T Services,Associate/ Sr Associate,Born 1981-1990,1-2 years,Open workstation with low or no panels,Passive,sched,70
Business Services/Office Services,Administrative,Born 1965-1980,3-5 years,A shared office or work room,Promoter,sched,70
Agency/Landlord Brokerage,SVP,Born 1981-1990,11-15 years,A private office,Detractor,sched,20
Communications and Marketing,Manager/Regional Manager,Born 1965-1980,3-5 years,Open workstation with low or no panels,Detractor,sched,50
Global Workplace Solutions (GWS),Associate/ Sr Associate,Born 1965-1980,3-5 years,I am not assigned to an individual workspace,Passive,sched,100
Global Workplace Solutions (GWS),Manager/Regional Manager,Born 1981-1990,3-5 years,I am not assigned to an individual workspace,Promoter,sched,70
Agency/Landlord Brokerage,SVP,Born 1965-1980,Less than 1 year,A private office,Detractor,sched,40
Transaction Management,Associate/ Sr Associate,Born 1981-1990,3-5 years,Open workstation with low or no panels,Detractor,sched,60
Agency/Landlord Brokerage,Associate/ Sr Associate,Born 1981-1990,Less than 1 year,Open workstation with low or no panels,Passive,sched,60
"Specialty Services Brokerage (Land, Hotels, Healthcare)",SVP,Born 1965-1980,6-10 years,A private office,Promoter,sched,65
Research,Analyst/Sr Analyst,Born 1981-1990,Less than 1 year,Open workstation with low or no panels,Passive,sched,65
Occupier A&amp;T Services,Associate/ Sr Associate,Born 1981-1990,6-10 years,Open workstation with low or no panels,Passive,sched,70
Business Services/Office Services,Associate/ Sr Associate,Born 1965-1980,Less than 1 year,Open workstation with low or no panels,Promoter,sched,50
Asset Services,Manager/Regional Manager,Born before 1964,16 years or more,Open workstation with low or no panels,Detractor,sched,50
Agency/Landlord Brokerage,Associate/ Sr Associate,Born 1981-1990,Less than 1 year,Open workstation with low or no panels,Passive,sched,50
Agency/Landlord Brokerage,Associate/ Sr Associate,Born 1981-1990,6-10 years,Open workstation with low or no panels,Passive,sched,30
Agency/Landlord Brokerage,VP,Born 1965-1980,16 years or more,Open workstation with low or no panels,Detractor,sched,60
Global Workplace Solutions (GWS),SVP,Born 1965-1980,Less than 1 year,Open workstation with low or no panels,Detractor,sched,50
Capital Markets/Investment Properties,SVP,Born 1981-1990,11-15 years,A private office,Detractor,sched,80
Corporate Services,Analyst/Sr Analyst,Born 1981-1990,3-5 years,Open workstation with low or no panels,Passive,sched,80
Asset Services,Administrative,Born 1981-1990,1-2 years,Open workstation with low or no panels,Detractor,sched,80
"Specialty Services Brokerage (Land, Hotels, Healthcare)",VP,Born 1965-1980,6-10 years,Open workstation with low or no panels,Passive,sched,50
Occupier A&amp;T Services,SVP,Born before 1964,11-15 years,A private office,Passive,sched,80
Client Services,Administrative,Born 1981-1990,1-2 years,Open workstation with low or no panels,Detractor,sched,80
"Specialty Services Brokerage (Land, Hotels, Healthcare)",Associate/ Sr Associate,Born 1981-1990,6-10 years,Open workstation with low or no panels,Passive,sched,40
Client Services,Administrative,Born 1981-1990,1-2 years,Open workstation with low or no panels,Detractor,sched,10
Client Services,Administrative,Born 1981-1990,3-5 years,Open workstation with low or no panels,Promoter,sched,90
Business Services/Office Services,Manager/Regional Manager,Born 1981-1990,3-5 years,A shared office or work room,Detractor,sched,40
Global Workplace Solutions (GWS),Director,Born 1965-1980,Less than 1 year,Open workstation with low or no panels,Passive,sched,50
Agency/Landlord Brokerage,VP,Born 1965-1980,16 years or more,A private office,Passive,sched,50
Capital Markets/Investment Properties,VP,Born 1965-1980,Less than 1 year,Open workstation with low or no panels,Promoter,sched,5
Communications and Marketing,Administrative,Born 1981-1990,1-2 years,Open workstation with low or no panels,Detractor,sched,50
Business Services/Office Services,Administrative,Born 1981-1990,3-5 years,Open workstation with low or no panels,Detractor,sched,40
Global Workplace Solutions (GWS),Analyst/Sr Analyst,Born 1981-1990,Less than 1 year,Open workstation with low or no panels,Passive,sched,60
Project Management,Director,Born 1965-1980,Less than 1 year,Open workstation with low or no panels,Passive,sched,95
Project Management,Associate/ Sr Associate,Born 1981-1990,Less than 1 year,Open workstation with low or no panels,Passive,sched,50
Capital Markets/Debt and Structured Finance,Analyst/Sr Analyst,Born 1991 or after,Less than 1 year,Open workstation with low or no panels,Promoter,sched,40
Capital Markets/Debt and Structured Finance,Vice Chairman,Born before 1964,3-5 years,A private office,Promoter,sched,20
Capital Markets/Debt and Structured Finance,Analyst/Sr Analyst,Born 1991 or after,1-2 years,Open workstation with low or no panels,Detractor,sched,20
Communications and Marketing,Manager/Regional Manager,Born 1981-1990,Less than 1 year,Open workstation with low or no panels,Passive,sched,50
Occupier A&amp;T Services,Associate/ Sr Associate,Born 1991 or after,1-2 years,Open workstation with low or no panels,Passive,sched,70
Agency/Landlord Brokerage,Associate/ Sr Associate,Born 1981-1990,1-2 years,Open workstation with low or no panels,Passive,sched,30
Agency/Landlord Brokerage,EVP,Born 1965-1980,11-15 years,A private office,Detractor,sched,60
Occupier A&amp;T Services,EVP,Born before 1964,6-10 years,A private office,Detractor,sched,50
Research,Director,Born 1981-1990,1-2 years,A private office,Detractor,sched,50
Capital Markets/Debt and Structured Finance,Analyst/Sr Analyst,Born 1991 or after,1-2 years,Open workstation with low or no panels,Detractor,sched,5
Research,Analyst/Sr Analyst,Born 1981-1990,1-2 years,Open workstation with low or no panels,Passive,sched,35
Retail Brokerage,Associate/ Sr Associate,Born 1981-1990,6-10 years,Open workstation with low or no panels,Passive,sched,20
Agency/Landlord Brokerage,SVP,Born 1965-1980,3-5 years,A private office,Detractor,sched,40
Asset Services,Director,Born before 1964,3-5 years,A private office,Promoter,sched,95
Occupier A&amp;T Services,VP,Born 1981-1990,6-10 years,Open workstation with low or no panels,Detractor,sched,30
Capital Markets/Investment Properties,Associate/ Sr Associate,Born 1991 or after,1-2 years,Open workstation with low or no panels,Passive,sched,20
Asset Services,Manager/Regional Manager,Born before 1964,11-15 years,Open workstation with low or no panels,Passive,sched,20
Project Management,Associate/ Sr Associate,Born 1981-1990,1-2 years,Open workstation with low or no panels,Passive,sched,50
Asset Services,Supervisor,Born 1981-1990,6-10 years,Open workstation with low or no panels,Passive,sched,65
Occupier A&amp;T Services,SVP,Born before 1964,1-2 years,A private office,Detractor,sched,35
Business Services/Office Services,Administrative,Born 1991 or after,3-5 years,Open workstation with low or no panels,Detractor,sched,15
Research,Director,Born 1981-1990,11-15 years,Open workstation with low or no panels,Detractor,sched,70
Research,Analyst/Sr Analyst,Born 1981-1990,Less than 1 year,Open workstation with low or no panels,Passive,sched,60
Project Management,Manager/Regional Manager,Born 1981-1990,6-10 years,Open workstation with low or no panels,Promoter,sched,25
Occupier A&amp;T Services,Administrative,Born 1991 or after,Less than 1 year,Open workstation with low or no panels,Passive,sched,80
Occupier A&amp;T Services,Managing Director/Sr Managing Director,Born before 1964,1-2 years,A private office,Passive,sched,60
Occupier A&amp;T Services,VP,Born 1965-1980,6-10 years,Open workstation with low or no panels,Detractor,sched,50
Client Services,Administrative,Born 1991 or after,Less than 1 year,Open workstation with low or no panels,Passive,sched,75
Occupier A&amp;T Services,Supervisor,Born 1981-1990,11-15 years,Open workstation with low or no panels,Promoter,sched,80
Capital Markets/Investment Properties,SVP,Born before 1964,11-15 years,Open workstation with low or no panels,Passive,sched,30
Occupier A&amp;T Services,FVP,Born 1981-1990,11-15 years,A private office,Detractor,sched,50
Occupier A&amp;T Services,Director,Born 1981-1990,6-10 years,Open workstation with low or no panels,Detractor,sched,40
Transaction Management,Vice Chairman,Born before 1964,11-15 years,A private office,Passive,sched,15
