dep,title,gen,tenure,setting,nps.cat,variable,value
Global Workplace Solutions (GWS),Associate/ Sr Associate,Born 1965-1980,3-5 years,I am not assigned to an individual workspace,Passive,others,5
Global Workplace Solutions (GWS),Manager/Regional Manager,Born 1981-1990,3-5 years,I am not assigned to an individual workspace,Promoter,others,40
Agency/Landlord Brokerage,SVP,Born 1965-1980,Less than 1 year,A private office,Detractor,others,30
Transaction Management,Associate/ Sr Associate,Born 1981-1990,3-5 years,Open workstation with low or no panels,Detractor,others,20
Agency/Landlord Brokerage,Associate/ Sr Associate,Born 1981-1990,Less than 1 year,Open workstation with low or no panels,Passive,others,70
"Specialty Services Brokerage (Land, Hotels, Healthcare)",SVP,Born 1965-1980,6-10 years,A private office,Promoter,others,40
Research,Analyst/Sr Analyst,Born 1981-1990,Less than 1 year,Open workstation with low or no panels,Passive,others,35
Occupier A&amp;T Services,Associate/ Sr Associate,Born 1981-1990,6-10 years,Open workstation with low or no panels,Passive,others,30
Business Services/Office Services,Associate/ Sr Associate,Born 1965-1980,Less than 1 year,Open workstation with low or no panels,Promoter,others,30
Asset Services,Manager/Regional Manager,Born before 1964,16 years or more,Open workstation with low or no panels,Detractor,others,10
Agency/Landlord Brokerage,Associate/ Sr Associate,Born 1981-1990,Less than 1 year,Open workstation with low or no panels,Passive,others,20
Agency/Landlord Brokerage,Associate/ Sr Associate,Born 1981-1990,6-10 years,Open workstation with low or no panels,Passive,others,40
Agency/Landlord Brokerage,VP,Born 1965-1980,16 years or more,Open workstation with low or no panels,Detractor,others,40
Global Workplace Solutions (GWS),SVP,Born 1965-1980,Less than 1 year,Open workstation with low or no panels,Detractor,others,40
Capital Markets/Investment Properties,SVP,Born 1981-1990,11-15 years,A private office,Detractor,others,40
Corporate Services,Analyst/Sr Analyst,Born 1981-1990,3-5 years,Open workstation with low or no panels,Passive,others,10
Asset Services,Administrative,Born 1981-1990,1-2 years,Open workstation with low or no panels,Detractor,others,25
"Specialty Services Brokerage (Land, Hotels, Healthcare)",VP,Born 1965-1980,6-10 years,Open workstation with low or no panels,Passive,others,20
Occupier A&amp;T Services,SVP,Born before 1964,11-15 years,A private office,Passive,others,30
Client Services,Administrative,Born 1981-1990,1-2 years,Open workstation with low or no panels,Detractor,others,60
"Specialty Services Brokerage (Land, Hotels, Healthcare)",Associate/ Sr Associate,Born 1981-1990,6-10 years,Open workstation with low or no panels,Passive,others,35
Client Services,Administrative,Born 1981-1990,1-2 years,Open workstation with low or no panels,Detractor,others,40
Client Services,Administrative,Born 1981-1990,3-5 years,Open workstation with low or no panels,Promoter,others,10
Business Services/Office Services,Manager/Regional Manager,Born 1981-1990,3-5 years,A shared office or work room,Detractor,others,20
Global Workplace Solutions (GWS),Director,Born 1965-1980,Less than 1 year,Open workstation with low or no panels,Passive,others,30
Agency/Landlord Brokerage,VP,Born 1965-1980,16 years or more,A private office,Passive,others,30
Capital Markets/Investment Properties,VP,Born 1965-1980,Less than 1 year,Open workstation with low or no panels,Promoter,others,10
Communications and Marketing,Administrative,Born 1981-1990,1-2 years,Open workstation with low or no panels,Detractor,others,25
Business Services/Office Services,Administrative,Born 1981-1990,3-5 years,Open workstation with low or no panels,Detractor,others,30
Global Workplace Solutions (GWS),Analyst/Sr Analyst,Born 1981-1990,Less than 1 year,Open workstation with low or no panels,Passive,others,50
Project Management,Director,Born 1965-1980,Less than 1 year,Open workstation with low or no panels,Passive,others,5
Project Management,Associate/ Sr Associate,Born 1981-1990,Less than 1 year,Open workstation with low or no panels,Passive,others,50
Capital Markets/Debt and Structured Finance,Analyst/Sr Analyst,Born 1991 or after,Less than 1 year,Open workstation with low or no panels,Promoter,others,20
Capital Markets/Debt and Structured Finance,Vice Chairman,Born before 1964,3-5 years,A private office,Promoter,others,90
Capital Markets/Debt and Structured Finance,Analyst/Sr Analyst,Born 1991 or after,1-2 years,Open workstation with low or no panels,Detractor,others,30
Communications and Marketing,Manager/Regional Manager,Born 1981-1990,Less than 1 year,Open workstation with low or no panels,Passive,others,30
Occupier A&amp;T Services,Associate/ Sr Associate,Born 1991 or after,1-2 years,Open workstation with low or no panels,Passive,others,40
Agency/Landlord Brokerage,Associate/ Sr Associate,Born 1981-1990,1-2 years,Open workstation with low or no panels,Passive,others,80
Agency/Landlord Brokerage,EVP,Born 1965-1980,11-15 years,A private office,Detractor,others,40
Occupier A&amp;T Services,EVP,Born before 1964,6-10 years,A private office,Detractor,others,30
Research,Director,Born 1981-1990,1-2 years,A private office,Detractor,others,20
Capital Markets/Debt and Structured Finance,Analyst/Sr Analyst,Born 1991 or after,1-2 years,Open workstation with low or no panels,Detractor,others,75
Research,Analyst/Sr Analyst,Born 1981-1990,1-2 years,Open workstation with low or no panels,Passive,others,30
Retail Brokerage,Associate/ Sr Associate,Born 1981-1990,6-10 years,Open workstation with low or no panels,Passive,others,60
Agency/Landlord Brokerage,SVP,Born 1965-1980,3-5 years,A private office,Detractor,others,50
Asset Services,Director,Born before 1964,3-5 years,A private office,Promoter,others,5
Occupier A&amp;T Services,VP,Born 1981-1990,6-10 years,Open workstation with low or no panels,Detractor,others,30
Capital Markets/Investment Properties,Associate/ Sr Associate,Born 1991 or after,1-2 years,Open workstation with low or no panels,Passive,others,40
Asset Services,Manager/Regional Manager,Born before 1964,11-15 years,Open workstation with low or no panels,Passive,others,5
Project Management,Associate/ Sr Associate,Born 1981-1990,1-2 years,Open workstation with low or no panels,Passive,others,30
Asset Services,Supervisor,Born 1981-1990,6-10 years,Open workstation with low or no panels,Passive,others,10
Occupier A&amp;T Services,SVP,Born before 1964,1-2 years,A private office,Detractor,others,80
Business Services/Office Services,Administrative,Born 1991 or after,3-5 years,Open workstation with low or no panels,Detractor,others,25
Research,Director,Born 1981-1990,11-15 years,Open workstation with low or no panels,Detractor,others,50
Research,Analyst/Sr Analyst,Born 1981-1990,Less than 1 year,Open workstation with low or no panels,Passive,others,35
Project Management,Manager/Regional Manager,Born 1981-1990,6-10 years,Open workstation with low or no panels,Promoter,others,50
Occupier A&amp;T Services,Administrative,Born 1991 or after,Less than 1 year,Open workstation with low or no panels,Passive,others,20
Occupier A&amp;T Services,Managing Director/Sr Managing Director,Born before 1964,1-2 years,A private office,Passive,others,50
Occupier A&amp;T Services,VP,Born 1965-1980,6-10 years,Open workstation with low or no panels,Detractor,others,50
Client Services,Administrative,Born 1991 or after,Less than 1 year,Open workstation with low or no panels,Passive,others,25
Occupier A&amp;T Services,Supervisor,Born 1981-1990,11-15 years,Open workstation with low or no panels,Promoter,others,25
Capital Markets/Investment Properties,SVP,Born before 1964,11-15 years,Open workstation with low or no panels,Passive,others,40
Occupier A&amp;T Services,FVP,Born 1981-1990,11-15 years,A private office,Detractor,others,35
Occupier A&amp;T Services,Director,Born 1981-1990,6-10 years,Open workstation with low or no panels,Detractor,others,25
Transaction Management,Vice Chairman,Born before 1964,11-15 years,A private office,Passive,others,70
Capital Markets/Investment Properties,SVP,Born before 1964,16 years or more,A private office,Detractor,others,15
Occupier A&amp;T Services,SVP,Born before 1964,1-2 years,A private office,Detractor,others,50
Project Management,Associate/ Sr Associate,Born 1991 or after,1-2 years,Open workstation with low or no panels,Passive,others,60
Asset Services,Director,Born 1965-1980,11-15 years,A private office,Passive,others,40
Capital Markets/Investment Properties,Analyst/Sr Analyst,Born 1981-1990,3-5 years,Open workstation with low or no panels,Passive,others,50
Occupier A&amp;T Services,Associate/ Sr Associate,Born 1981-1990,3-5 years,Open workstation with low or no panels,Passive,others,20
"Specialty Services Brokerage (Land, Hotels, Healthcare)",Associate/ Sr Associate,Born 1981-1990,6-10 years,Open workstation with low or no panels,Passive,others,50
Capital Markets/Investment Properties,EVP,Born before 1964,16 years or more,A private office,Detractor,others,50
Communications and Marketing,Manager/Regional Manager,Born 1981-1990,Less than 1 year,Open workstation with low or no panels,Detractor,others,75
Client Services,Administrative,Born 1981-1990,Less than 1 year,Open workstation with low or no panels,Detractor,others,15
Agency/Landlord Brokerage,Associate/ Sr Associate,Born 1981-1990,3-5 years,Open workstation with low or no panels,Detractor,others,90
Financial Consulting Group,Manager/Regional Manager,Born 1965-1980,3-5 years,A private office,Passive,others,30
Project Management,Managing Director/Sr Managing Director,Born before 1964,3-5 years,A private office,Detractor,others,50
Occupier A&amp;T Services,SVP,Born 1965-1980,11-15 years,A private office,Detractor,sched,25
Occupier A&amp;T Services,Associate/ Sr Associate,Born 1981-1990,6-10 years,Open workstation with low or no panels,Detractor,sched,60
Agency/Landlord Brokerage,SVP,Born 1965-1980,11-15 years,A private office,Promoter,sched,50
Capital Markets/Debt and Structured Finance,Analyst/Sr Analyst,Born 1991 or after,3-5 years,Open workstation with low or no panels,Detractor,sched,60
Capital Markets/Investment Properties,Administrative,Born 1965-1980,16 years or more,Open workstation with low or no panels,Detractor,sched,50
