"dep","title","gen","tenure","setting","nps.cat","id","variable","value"
"Occupier A&amp;T Services","Supervisor","Born 1981-1990","11-15 years","Open workstation with low or no panels","Promoter",108,"others","25"
"Capital Markets/Investment Properties","SVP","Born before 1964","11-15 years","Open workstation with low or no panels","Passive",109,"others","40"
"Occupier A&amp;T Services","FVP","Born 1981-1990","11-15 years","A private office","Detractor",110,"others","35"
"Occupier A&amp;T Services","Director","Born 1981-1990","6-10 years","Open workstation with low or no panels","Detractor",111,"others","25"
"Transaction Management","Vice Chairman","Born before 1964","11-15 years","A private office","Passive",112,"others","70"
"Capital Markets/Investment Properties","SVP","Born before 1964","16 years or more","A private office","Detractor",113,"others","15"
"Occupier A&amp;T Services","SVP","Born before 1964","1-2 years","A private office","Detractor",114,"others","50"
"Project Management","Associate/ Sr Associate","Born 1991 or after","1-2 years","Open workstation with low or no panels","Passive",115,"others","60"
"Asset Services","Director","Born 1965-1980","11-15 years","A private office","Passive",116,"others","40"
"Capital Markets/Investment Properties","Analyst/Sr Analyst","Born 1981-1990","3-5 years","Open workstation with low or no panels","Passive",117,"others","50"
"Occupier A&amp;T Services","Associate/ Sr Associate","Born 1981-1990","3-5 years","Open workstation with low or no panels","Passive",118,"others","20"
"Specialty Services Brokerage (Land, Hotels, Healthcare)","Associate/ Sr Associate","Born 1981-1990","6-10 years","Open workstation with low or no panels","Passive",119,"others","50"
"Capital Markets/Investment Properties","EVP","Born before 1964","16 years or more","A private office","Detractor",120,"others","50"
"Communications and Marketing","Manager/Regional Manager","Born 1981-1990","Less than 1 year","Open workstation with low or no panels","Detractor",121,"others","75"
"Client Services","Administrative","Born 1981-1990","Less than 1 year","Open workstation with low or no panels","Detractor",122,"others","15"
"Agency/Landlord Brokerage","Associate/ Sr Associate","Born 1981-1990","3-5 years","Open workstation with low or no panels","Detractor",123,"others","90"
"Financial Consulting Group","Manager/Regional Manager","Born 1965-1980","3-5 years","A private office","Passive",124,"others","30"
"Project Management","Managing Director/Sr Managing Director","Born before 1964","3-5 years","A private office","Detractor",125,"others","50"
"Occupier A&amp;T Services","SVP","Born 1965-1980","11-15 years","A private office","Detractor",1,"sched","25"
"Occupier A&amp;T Services","Associate/ Sr Associate","Born 1981-1990","6-10 years","Open workstation with low or no panels","Detractor",2,"sched","60"
"Agency/Landlord Brokerage","SVP","Born 1965-1980","11-15 years","A private office","Promoter",3,"sched","50"
"Capital Markets/Debt and Structured Finance","Analyst/Sr Analyst","Born 1991 or after","3-5 years","Open workstation with low or no panels","Detractor",4,"sched","60"
"Capital Markets/Investment Properties","Administrative","Born 1965-1980","16 years or more","Open workstation with low or no panels","Detractor",5,"sched","50"
"Capital Markets/Investment Properties","Administrative","Born 1991 or after","Less than 1 year","Open workstation with low or no panels","Promoter",6,"sched","85"
"Global Workplace Solutions (GWS)","Manager/Regional Manager","Born 1981-1990","3-5 years","Open workstation with low or no panels","Passive",7,"sched","80"
"Agency/Landlord Brokerage","SVP","Born before 1964","16 years or more","A private office","Passive",8,"sched","30"
"Management/Leadership","Managing Director/Sr Managing Director","Born 1965-1980","11-15 years","Open workstation with low or no panels","Passive",9,"sched","40"
"Capital Markets/Investment Properties","Associate/ Sr Associate","Born 1981-1990","1-2 years","Open workstation with low or no panels","Passive",10,"sched","30"
"Capital Markets/Investment Properties","Associate/ Sr Associate","Born 1981-1990","3-5 years","Open workstation with low or no panels","Passive",11,"sched","50"
"Capital Markets/Debt and Structured Finance","Analyst/Sr Analyst","Born 1991 or after","3-5 years","Open workstation with low or no panels","Detractor",12,"sched","10"
"Research","Analyst/Sr Analyst","Born 1991 or after","3-5 years","Open workstation with low or no panels","Detractor",13,"sched","30"
"Financial Consulting Group","Analyst/Sr Analyst","Born 1991 or after","3-5 years","Open workstation with low or no panels","Passive",14,"sched","50"
"Communications and Marketing","Administrative","Born 1981-1990","1-2 years","Open workstation with low or no panels","Passive",15,"sched","75"
"Communications and Marketing","Associate/ Sr Associate","Born 1981-1990","1-2 years","Open workstation with low or no panels","Detractor",16,"sched","50"
"Occupier A&amp;T Services","SVP","Born 1965-1980","Less than 1 year","A private office","Promoter",17,"sched","40"
"Research","Analyst/Sr Analyst","Born 1991 or after","Less than 1 year","Open workstation with low or no panels","Passive",18,"sched","80"
"Capital Markets/Investment Properties","Analyst/Sr Analyst","Born 1965-1980","11-15 years","Open workstation with low or no panels","Detractor",19,"sched","20"
"Capital Markets/Investment Properties","Analyst/Sr Analyst","Born 1991 or after","Less than 1 year","Open workstation with low or no panels","Promoter",20,"sched","90"
"Project Management","Analyst/Sr Analyst","Born 1991 or after","3-5 years","Open workstation with low or no panels","Passive",21,"sched","40"
"Occupier A&amp;T Services","Analyst/Sr Analyst","Born 1991 or after","1-2 years","I am not assigned to an individual workspace","Detractor",22,"sched","20"
"Specialty Services Brokerage (Land, Hotels, Healthcare)","Associate/ Sr Associate","Born 1981-1990","3-5 years","Open workstation with low or no panels","Detractor",23,"sched","25"
"Occupier A&amp;T Services","Vice Chairman","Born 1965-1980","6-10 years","A private office","Detractor",24,"sched","20"
"Agency/Landlord Brokerage","Associate/ Sr Associate","Born 1981-1990","3-5 years","Open workstation with low or no panels","Passive",25,"sched","60"
"Agency/Landlord Brokerage","Associate/ Sr Associate","Born 1991 or after","3-5 years","Open workstation with low or no panels","Passive",26,"sched","60"
"Client Services","Administrative","Born 1981-1990","3-5 years","Open workstation with low or no panels","Passive",27,"sched","10"
"Communications and Marketing","Managing Director/Sr Managing Director","Born 1965-1980","1-2 years","A private office","Detractor",28,"sched","50"
"Communications and Marketing","Manager/Regional Manager","Born 1981-1990","Less than 1 year","Open workstation with low or no panels","Promoter",29,"sched","40"
"Capital Markets/Debt and Structured Finance","Analyst/Sr Analyst","Born 1991 or after","1-2 years","Open workstation with low or no panels","Passive",30,"sched","20"
"IT","Manager/Regional Manager","Born 1965-1980","16 years or more","A shared office or work room","Detractor",31,"sched","10"
"Management/Leadership","Analyst/Sr Analyst","Born 1991 or after","Less than 1 year","Open workstation with low or no panels","Passive",32,"sched","80"
"Capital Markets/Debt and Structured Finance","VP","Born 1981-1990","3-5 years","Open workstation with low or no panels","Detractor",33,"sched","20"
"Occupier A&amp;T Services","SVP","Born 1965-1980","6-10 years","A private office","Promoter",34,"sched","10"
"Client Services","Administrative","Born 1991 or after","Less than 1 year","Open workstation with low or no panels","Detractor",35,"sched","20"
"Communications and Marketing","Associate/ Sr Associate","Born 1981-1990","3-5 years","Open workstation with low or no panels","Detractor",36,"sched","15"
"Capital Markets/Debt and Structured Finance","FVP","Born 1981-1990","3-5 years","Open workstation with low or no panels","Detractor",37,"sched","5"
"Occupier A&amp;T Services","SVP","Born before 1964","16 years or more","A private office","Promoter",38,"sched","20"
"Capital Markets/Investment Properties","Associate/ Sr Associate","Born 1981-1990","3-5 years","Open workstation with low or no panels","Passive",39,"sched","35"
"Occupier A&amp;T Services","EVP","Born before 1964","16 years or more","A private office","Promoter",40,"sched","90"
"Management/Leadership","Manager/Regional Manager","Born 1981-1990","6-10 years","A shared office or work room","Detractor",41,"sched","40"
"Asset Services","Managing Director/Sr Managing Director","Born 1965-1980","11-15 years","A private office","Promoter",42,"sched","75"
"Global Workplace Solutions (GWS)","Director","Born 1981-1990","6-10 years","A private office","Promoter",43,"sched","50"
"Occupier A&amp;T Services","Associate/ Sr Associate","Born 1981-1990","1-2 years","Open workstation with low or no panels","Passive",44,"sched","70"
"Business Services/Office Services","Administrative","Born 1965-1980","3-5 years","A shared office or work room","Promoter",45,"sched","70"
"Agency/Landlord Brokerage","SVP","Born 1981-1990","11-15 years","A private office","Detractor",46,"sched","20"
"Communications and Marketing","Manager/Regional Manager","Born 1965-1980","3-5 years","Open workstation with low or no panels","Detractor",47,"sched","50"
"Global Workplace Solutions (GWS)","Associate/ Sr Associate","Born 1965-1980","3-5 years","I am not assigned to an individual workspace","Passive",48,"sched","100"
"Global Workplace Solutions (GWS)","Manager/Regional Manager","Born 1981-1990","3-5 years","I am not assigned to an individual workspace","Promoter",49,"sched","70"
"Agency/Landlord Brokerage","SVP","Born 1965-1980","Less than 1 year","A private office","Detractor",50,"sched","40"
"Transaction Management","Associate/ Sr Associate","Born 1981-1990","3-5 years","Open workstation with low or no panels","Detractor",51,"sched","60"
"Agency/Landlord Brokerage","Associate/ Sr Associate","Born 1981-1990","Less than 1 year","Open workstation with low or no panels","Passive",52,"sched","60"
"Specialty Services Brokerage (Land, Hotels, Healthcare)","SVP","Born 1965-1980","6-10 years","A private office","Promoter",53,"sched","65"
"Research","Analyst/Sr Analyst","Born 1981-1990","Less than 1 year","Open workstation with low or no panels","Passive",54,"sched","65"
"Occupier A&amp;T Services","Associate/ Sr Associate","Born 1981-1990","6-10 years","Open workstation with low or no panels","Passive",55,"sched","70"
"Business Services/Office Services","Associate/ Sr Associate","Born 1965-1980","Less than 1 year","Open workstation with low or no panels","Promoter",56,"sched","50"
"Asset Services","Manager/Regional Manager","Born before 1964","16 years or more","Open workstation with low or no panels","Detractor",57,"sched","50"
"Agency/Landlord Brokerage","Associate/ Sr Associate","Born 1981-1990","Less than 1 year","Open workstation with low or no panels","Passive",58,"sched","50"
"Agency/Landlord Brokerage","Associate/ Sr Associate","Born 1981-1990","6-10 years","Open workstation with low or no panels","Passive",59,"sched","30"
"Agency/Landlord Brokerage","VP","Born 1965-1980","16 years or more","Open workstation with low or no panels","Detractor",60,"sched","60"
"Global Workplace Solutions (GWS)","SVP","Born 1965-1980","Less than 1 year","Open workstation with low or no panels","Detractor",61,"sched","50"
"Capital Markets/Investment Properties","SVP","Born 1981-1990","11-15 years","A private office","Detractor",62,"sched","80"
"Corporate Services","Analyst/Sr Analyst","Born 1981-1990","3-5 years","Open workstation with low or no panels","Passive",63,"sched","80"
