"dep","title","gen","tenure","setting","nps.cat","id","variable","value"
"Global Workplace Solutions (GWS)","Analyst/Sr Analyst","Born 1981-1990","Less than 1 year","Open workstation with low or no panels","Passive",77,"others","50"
"Project Management","Director","Born 1965-1980","Less than 1 year","Open workstation with low or no panels","Passive",78,"others","5"
"Project Management","Associate/ Sr Associate","Born 1981-1990","Less than 1 year","Open workstation with low or no panels","Passive",79,"others","50"
"Capital Markets/Debt and Structured Finance","Analyst/Sr Analyst","Born 1991 or after","Less than 1 year","Open workstation with low or no panels","Promoter",80,"others","20"
"Capital Markets/Debt and Structured Finance","Vice Chairman","Born before 1964","3-5 years","A private office","Promoter",81,"others","90"
"Capital Markets/Debt and Structured Finance","Analyst/Sr Analyst","Born 1991 or after","1-2 years","Open workstation with low or no panels","Detractor",82,"others","30"
"Communications and Marketing","Manager/Regional Manager","Born 1981-1990","Less than 1 year","Open workstation with low or no panels","Passive",83,"others","30"
"Occupier A&amp;T Services","Associate/ Sr Associate","Born 1991 or after","1-2 years","Open workstation with low or no panels","Passive",84,"others","40"
"Agency/Landlord Brokerage","Associate/ Sr Associate","Born 1981-1990","1-2 years","Open workstation with low or no panels","Passive",85,"others","80"
"Agency/Landlord Brokerage","EVP","Born 1965-1980","11-15 years","A private office","Detractor",86,"others","40"
"Occupier A&amp;T Services","EVP","Born before 1964","6-10 years","A private office","Detractor",87,"others","30"
"Research","Director","Born 1981-1990","1-2 years","A private office","Detractor",88,"others","20"
"Capital Markets/Debt and Structured Finance","Analyst/Sr Analyst","Born 1991 or after","1-2 years","Open workstation with low or no panels","Detractor",89,"others","75"
"Research","Analyst/Sr Analyst","Born 1981-1990","1-2 years","Open workstation with low or no panels","Passive",90,"others","30"
"Retail Brokerage","Associate/ Sr Associate","Born 1981-1990","6-10 years","Open workstation with low or no panels","Passive",91,"others","60"
"Agency/Landlord Brokerage","SVP","Born 1965-1980","3-5 years","A private office","Detractor",92,"others","50"
"Asset Services","Director","Born before 1964","3-5 years","A private office","Promoter",93,"others","5"
"Occupier A&amp;T Services","VP","Born 1981-1990","6-10 years","Open workstation with low or no panels","Detractor",94,"others","30"
"Capital Markets/Investment Properties","Associate/ Sr Associate","Born 1991 or after","1-2 years","Open workstation with low or no panels","Passive",95,"others","40"
"Asset Services","Manager/Regional Manager","Born before 1964","11-15 years","Open workstation with low or no panels","Passive",96,"others","5"
"Project Management","Associate/ Sr Associate","Born 1981-1990","1-2 years","Open workstation with low or no panels","Passive",97,"others","30"
"Asset Services","Supervisor","Born 1981-1990","6-10 years","Open workstation with low or no panels","Passive",98,"others","10"
"Occupier A&amp;T Services","SVP","Born before 1964","1-2 years","A private office","Detractor",99,"others","80"
"Business Services/Office Services","Administrative","Born 1991 or after","3-5 years","Open workstation with low or no panels","Detractor",100,"others","25"
"Research","Director","Born 1981-1990","11-15 years","Open workstation with low or no panels","Detractor",101,"others","50"
"Research","Analyst/Sr Analyst","Born 1981-1990","Less than 1 year","Open workstation with low or no panels","Passive",102,"others","35"
"Project Management","Manager/Regional Manager","Born 1981-1990","6-10 years","Open workstation with low or no panels","Promoter",103,"others","50"
"Occupier A&amp;T Services","Administrative","Born 1991 or after","Less than 1 year","Open workstation with low or no panels","Passive",104,"others","20"
"Occupier A&amp;T Services","Managing Director/Sr Managing Director","Born before 1964","1-2 years","A private office","Passive",105,"others","50"
"Occupier A&amp;T Services","VP","Born 1965-1980","6-10 years","Open workstation with low or no panels","Detractor",106,"others","50"
"Client Services","Administrative","Born 1991 or after","Less than 1 year","Open workstation with low or no panels","Passive",107,"others","25"
